SKU,MRP,SELLING PRICE,TRANSFER PRICE,TYPE,NAME,DESCRIPTION,KEYFEATURE,HSN,MAIN IMAGE URL,URL1,URL2,URL3,URL4,URL5,GROUP ID,DISCOUNT %,Rate Without Tax,New Selling Price,Total Discount,Disc%,Color,Size
D1971PINK_XL,2099,669,425,SINGLE KURTI,rayon embroidered straight kurti for women and girls.,"""Aadhara"" we presents a heavy embroidered rayon straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/bdib3gb6i6hedga/AKT35766.JPG?dl=0,https://www.dropbox.com/s/ce062m1q7zk83ck/AKT35765.JPG?dl=0,https://www.dropbox.com/s/bhs15vozeekxh2z/AKT35767.JPG?dl=0,https://www.dropbox.com/s/5ou9us9mysyqxrj/AKT35770.JPG?dl=0,https://www.dropbox.com/s/45fyd1figlti7l1/AKT35769.JPG?dl=0,,D1971,5%,1874.107143,637.1428571,1236.964286,66.0028585,Pink,XL
D1971PINK_XXL,2099,669,425,SINGLE KURTI,rayon embroidered straight kurti for women and girls.,"""Aadhara"" we presents a heavy embroidered rayon straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/bdib3gb6i6hedga/AKT35766.JPG?dl=0,https://www.dropbox.com/s/ce062m1q7zk83ck/AKT35765.JPG?dl=0,https://www.dropbox.com/s/bhs15vozeekxh2z/AKT35767.JPG?dl=0,https://www.dropbox.com/s/5ou9us9mysyqxrj/AKT35770.JPG?dl=0,https://www.dropbox.com/s/45fyd1figlti7l1/AKT35769.JPG?dl=0,,D1971,5%,1874.107143,637.1428571,1236.964286,66.0028585,Pink,XXL
D3190BLACK_M,1599,599,380,SINGLE KURTI,pure cotton straight kurta for women and girls.,"""Aadhara""  we presents a heavy pure cotton straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/dc67yztrk2v7jqs/S-3190-Black%20%282%29.JPG?dl=0,https://www.dropbox.com/s/d64immxny55xodn/S-3190-Black%20%281%29.JPG?dl=0,https://www.dropbox.com/s/s1ffq307e4n54q8/S-3190-Black%20%283%29.JPG?dl=0,https://www.dropbox.com/s/26801s8rbbp3g9e/S-3190-Black%20%286%29.JPG?dl=0,https://www.dropbox.com/s/n66raz8jfco88yr/S-3190-Black%20%284%29.JPG?dl=0,,D3190,5%,1427.678571,570.4761905,857.202381,60.04169272,Black,M
D3190BLACK_L,1599,599,380,SINGLE KURTI,pure cotton straight kurta for women and girls.,"""Aadhara""  we presents a heavy pure cotton straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/dc67yztrk2v7jqs/S-3190-Black%20%282%29.JPG?dl=0,https://www.dropbox.com/s/d64immxny55xodn/S-3190-Black%20%281%29.JPG?dl=0,https://www.dropbox.com/s/s1ffq307e4n54q8/S-3190-Black%20%283%29.JPG?dl=0,https://www.dropbox.com/s/26801s8rbbp3g9e/S-3190-Black%20%286%29.JPG?dl=0,https://www.dropbox.com/s/n66raz8jfco88yr/S-3190-Black%20%284%29.JPG?dl=0,,D3190,5%,1427.678571,570.4761905,857.202381,60.04169272,Black,L
D3190BLACK_XL,1599,599,380,SINGLE KURTI,pure cotton straight kurta for women and girls.,"""Aadhara""  we presents a heavy pure cotton straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/dc67yztrk2v7jqs/S-3190-Black%20%282%29.JPG?dl=0,https://www.dropbox.com/s/d64immxny55xodn/S-3190-Black%20%281%29.JPG?dl=0,https://www.dropbox.com/s/s1ffq307e4n54q8/S-3190-Black%20%283%29.JPG?dl=0,https://www.dropbox.com/s/26801s8rbbp3g9e/S-3190-Black%20%286%29.JPG?dl=0,https://www.dropbox.com/s/n66raz8jfco88yr/S-3190-Black%20%284%29.JPG?dl=0,,D3190,5%,1427.678571,570.4761905,857.202381,60.04169272,Black,XL
D3190BLACK_XXL,1599,599,380,SINGLE KURTI,pure cotton straight kurta for women and girls.,"""Aadhara""  we presents a heavy pure cotton straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/dc67yztrk2v7jqs/S-3190-Black%20%282%29.JPG?dl=0,https://www.dropbox.com/s/d64immxny55xodn/S-3190-Black%20%281%29.JPG?dl=0,https://www.dropbox.com/s/s1ffq307e4n54q8/S-3190-Black%20%283%29.JPG?dl=0,https://www.dropbox.com/s/26801s8rbbp3g9e/S-3190-Black%20%286%29.JPG?dl=0,https://www.dropbox.com/s/n66raz8jfco88yr/S-3190-Black%20%284%29.JPG?dl=0,,D3190,5%,1427.678571,570.4761905,857.202381,60.04169272,Black,XXL
D3190CHIKOO_M,1599,599,380,SINGLE KURTI,pure cotton straight kurta for women and girls.,"""Aadhara""  we presents a heavy pure cotton straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/03bhefk5v1vw49d/S-3190-Chikoo%20%282%29.JPG?dl=0,https://www.dropbox.com/s/yylndh5hibhs3p3/S-3190-Chikoo%20%281%29.JPG?dl=0,https://www.dropbox.com/s/ngxg200phxfu3ax/S-3190-Chikoo%20%283%29.JPG?dl=0,https://www.dropbox.com/s/4f6r0w8ygeqogaw/S-3190-Chikoo%20%286%29.JPG?dl=0,https://www.dropbox.com/s/c8apx5h972bvqo9/S-3190-Chikoo%20%284%29.JPG?dl=0,https://www.dropbox.com/s/z9rl6wlpwx9xhb1/S-3190-Chikoo%20%285%29.JPG?dl=0,D3190,5%,1427.678571,570.4761905,857.202381,60.04169272,Chickoo,M
D3190CHIKOO_L,1599,599,380,SINGLE KURTI,pure cotton straight kurta for women and girls.,"""Aadhara""  we presents a heavy pure cotton straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/03bhefk5v1vw49d/S-3190-Chikoo%20%282%29.JPG?dl=0,https://www.dropbox.com/s/yylndh5hibhs3p3/S-3190-Chikoo%20%281%29.JPG?dl=0,https://www.dropbox.com/s/ngxg200phxfu3ax/S-3190-Chikoo%20%283%29.JPG?dl=0,https://www.dropbox.com/s/4f6r0w8ygeqogaw/S-3190-Chikoo%20%286%29.JPG?dl=0,https://www.dropbox.com/s/c8apx5h972bvqo9/S-3190-Chikoo%20%284%29.JPG?dl=0,https://www.dropbox.com/s/z9rl6wlpwx9xhb1/S-3190-Chikoo%20%285%29.JPG?dl=0,D3190,5%,1427.678571,570.4761905,857.202381,60.04169272,Chickoo,L
D3190CHIKOO_XL,1599,599,380,SINGLE KURTI,pure cotton straight kurta for women and girls.,"""Aadhara""  we presents a heavy pure cotton straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/03bhefk5v1vw49d/S-3190-Chikoo%20%282%29.JPG?dl=0,https://www.dropbox.com/s/yylndh5hibhs3p3/S-3190-Chikoo%20%281%29.JPG?dl=0,https://www.dropbox.com/s/ngxg200phxfu3ax/S-3190-Chikoo%20%283%29.JPG?dl=0,https://www.dropbox.com/s/4f6r0w8ygeqogaw/S-3190-Chikoo%20%286%29.JPG?dl=0,https://www.dropbox.com/s/c8apx5h972bvqo9/S-3190-Chikoo%20%284%29.JPG?dl=0,https://www.dropbox.com/s/z9rl6wlpwx9xhb1/S-3190-Chikoo%20%285%29.JPG?dl=0,D3190,5%,1427.678571,570.4761905,857.202381,60.04169272,Chickoo,XL
D3190CHIKOO_XXL,1599,599,380,SINGLE KURTI,pure cotton straight kurta for women and girls.,"""Aadhara""  we presents a heavy pure cotton straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/03bhefk5v1vw49d/S-3190-Chikoo%20%282%29.JPG?dl=0,https://www.dropbox.com/s/yylndh5hibhs3p3/S-3190-Chikoo%20%281%29.JPG?dl=0,https://www.dropbox.com/s/ngxg200phxfu3ax/S-3190-Chikoo%20%283%29.JPG?dl=0,https://www.dropbox.com/s/4f6r0w8ygeqogaw/S-3190-Chikoo%20%286%29.JPG?dl=0,https://www.dropbox.com/s/c8apx5h972bvqo9/S-3190-Chikoo%20%284%29.JPG?dl=0,https://www.dropbox.com/s/z9rl6wlpwx9xhb1/S-3190-Chikoo%20%285%29.JPG?dl=0,D3190,5%,1427.678571,570.4761905,857.202381,60.04169272,Chickoo,XXL
